ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
19;Kepulauan Bangka Belitung;2020;38756;738637;1501843545;-2.29;15763;-20.43;52023;1531.5;0.257;841;85;2;21075;482
21;Kepulauan Riau;2020;117176;1133776;1773521041;-3.8;25032;1.55;123465;2183.3;0.334;1598;404;12;13482;297
31;DKI Jakarta;2020;572780;5232031;2257991477;-2.39;28420;-25.64;262615;10684.9;0.4;1819;7091;804;46084;12933
32;Jawa Barat;2020;2533076;24207930;1324959832;-2.52;19078;-19.63;43237;50345.2;0.398;8251;2765;82;584920;41023
33;Jawa Tengah;2020;1214342;18751277;1018487383;-2.65;12707;-19.93;36965;37892.3;0.359;10186;1225;42;831652;66510
34;DI Yogyakarta;2020;101846;2228162;1411971845;-2.67;15771;-15.91;37694;3759.5;0.437;1416;368;7;133132;4367
35;Jawa Timur;2020;1301145;22264112;1064381897;-2.33;14389;0.69;56641;41814.5;0.364;17533;1796;101;720250;108232
36;Banten;2020;661061;6213233;1517044097;-3.39;23035;-18.1;52729;12431.4;0.365;1991;1117;36;100709;6968
51;Bali;2020;144500;2567919;1509665645;-9.34;17775;-24.89;52015;4433.3;0.369;1588;272;5;145622;3894
52;Nusa Tenggara Barat;2020;113430;2689386;1089763599;-0.62;13627;-16.04;25184;5646;0.386;3480;205;13;92839;11749
53;Nusa Tenggara Timur;2020;121884;2847839;7943611455;-0.84;17696;-11.65;20057;5656;0.356;5458;403;10;135051;1003
61;Kalimantan Barat;2020;151561;2609857;1125063486;-1.82;16098;-15.83;39622;5695.5;0.325;5137;313;8;38187;962
62;Kalimantan Tengah;2020;63309;1381442;1333318025;-1.41;20677;-18.67;57145;2809.7;0.32;1596;295;21;21774;1499
63;Kalimantan Selatan;2020;103648;2186967;1335456981;-1.82;18863;-11.56;44101;4273.4;0.351;3327;376;7;52798;2835
64;Kalimantan Timur;2020;124884;1817680;1754194771;-2.9;24097;-7.43;161799;4045.9;0.335;3330;1086;52;23550;1094
65;Kalimantan Utara;2020;17290;347731;1545689215;-1.09;26002;-9.02;143533;739.8;0.3;1167;132;14;4771;192
71;Sulawesi Utara;2020;90248;1225050;1211839.14;-0.99;21390;-13.42;50521;2701.8;0.368;1755;232;8;35727;1384
72;Sulawesi Tengah;2020;59381;1575728;1035777.06;4.86;18140;4.82;66306;3121.8;0.321;2858;221;9;81535;3024
73;Sulawesi Selatan;2020;269817;4276437;1057864165;-0.71;19172;-2.56;55675;9463.4;0.382;9565;1424;28;121097;5392
